src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.50.10,192.168.50.20,57330,80,6,2026-09-07 18:32:22,0.009527444839477539,194700.68116413502,1154.55929531293,734.7195515627737,419.8397437501564,7,4,561,1294,149,66,80.14285714285714,28.326809973332793,1088,66,323.5,441.39636382734284,1088,66,168.63636363636363,291.65492459638375,85062.5950413223,140,80,20,1,0.0009527444839477539,0.004064083099365234,0.0,0.001161499524276539,0.009527444839477539,0.004064083099365234,0.0,0.0015879074732462566,0.0013023486101593799,0.008351802825927734,0.005156040191650391,0.0011796951293945312,0.0027839342753092446,0.001711732951597197,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,168.63636363636363,64240,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.14285714285714,323.5,0,7,4,561,1294
192.168.50.10,192.168.50.20,34777,53,17,2026-09-07 18:32:23,0.02475571632385254,10906.57189910722,121.18413221230244,80.78942147486829,40.394710737434146,2,1,188,82,94,94,94.0,0.0,82,82,82.0,0.0,94,82,90.0,5.656854249492381,32.0,40,20,20,2,0.01237785816192627,0.02475571632385254,0.0,0.01237785816192627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0,82.0,0,2,1,188,82
192.168.50.10,192.168.50.20,41680,53,17,2026-09-07 18:32:23,0.02005743980407715,14807.47308236357,149.57043517538958,99.71362345025973,49.856811725129866,2,1,206,91,103,103,103.0,0.0,91,91,91.0,0.0,103,91,99.0,5.656854249492381,32.0,40,20,20,2,0.010028719902038574,0.02005743980407715,0.0,0.010028719902038574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.0,91.0,0,2,1,206,91
192.168.50.10,192.168.50.20,35986,21,6,2026-09-07 18:32:23,0.06179475784301758,33061.05681634039,420.74766383986787,210.37383191993393,210.37383191993393,13,13,935,1108,82,66,71.92307692307692,4.968540080601583,115,66,85.23076923076923,15.232323153053615,115,66,78.57692307692308,13.138824080748325,172.6286982248521,260,260,20,7,0.0024717903137207032,0.010550737380981445,0.0,0.002756039056549051,0.06037616729736328,0.014485597610473633,0.0,0.0050313472747802734,0.004475111478469835,0.060437917709350586,0.01380157470703125,4.76837158203125e-07,0.005036493142445882,0.004303219093363388,7,9,0,0,2,3,0,16,24,0,0,1.0,78.57692307692308,64240,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.92307692307692,85.23076923076923,0,13,13,935,1108
192.168.50.10,192.168.50.20,45214,60580,6,2026-09-07 18:32:23,0.023531198501586914,23458.218669260463,339.9741836124705,212.48386475779407,127.49031885467643,5,3,346,206,74,66,69.2,3.9191835884530852,74,66,68.66666666666667,3.7712361663282534,74,66,69.0,3.872983346207417,15.0,100,60,20,0,0.003361599785940988,0.010276317596435547,0.0,0.003635807677241577,0.02222919464111328,0.010276317596435547,0.0,0.00555729866027832,0.004739652974584969,0.022626638412475586,0.014413595199584961,0.008213043212890625,0.011313319206237793,0.003100275993347168,0,0,0,0,2,3,0,0,6,0,0,0.6,69.0,64240,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.2,68.66666666666667,0,5,3,346,206
192.168.50.10,192.168.50.20,33022,22,6,2026-09-07 18:32:23,0.1637253761291504,49405.90268437807,250.4193361428484,128.26356241462966,122.15577372821873,21,20,4083,4006,1794,66,194.42857142857142,368.0246590377661,1042,66,200.3,264.89037355102204,1794,66,197.29268292682926,321.8838029932343,103609.18262938729,420,400,20,12,0.004093134403228759,0.03796219825744629,0.0,0.007288007325141127,0.1637253761291504,0.04320263862609863,0.0,0.008186268806457519,0.011555190107639723,0.16156339645385742,0.05763363838195801,0.0006797313690185547,0.00850333665546618,0.013192191122329928,12,13,0,0,2,3,0,25,39,0,0,0.9523809523809523,197.29268292682926,64240,5792,0,0,0,0,0,0,0,0,0,0,312.0,5.0,0,35305.20822316948,194.42857142857142,200.3,0,21,20,4083,4006
192.168.50.10,192.168.50.20,57332,80,6,2026-09-07 18:32:23,0.029006242752075195,65296.28867097919,379.2287092823501,241.32736045240463,137.9013488299455,7,4,555,1339,143,66,79.28571428571429,26.244532958391193,1133,66,334.75,460.8814245551669,1133,66,172.1818181818182,304.5995338687468,92780.87603305782,140,80,20,1,0.0029006242752075196,0.015986204147338867,0.0,0.004528976048289521,0.029006242752075195,0.017123699188232422,0.0,0.004834373792012532,0.0057789478398757935,0.0264739990234375,0.015986204147338867,0.0047914981842041016,0.008824666341145834,0.005077426047190236,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,172.1818181818182,64240,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.28571428571429,334.75,0,7,4,555,1339
192.168.50.10,192.168.50.20,57342,80,6,2026-09-07 18:32:23,0.03846287727355957,32706.861503176817,285.99004494033784,181.99366496203317,103.99637997830466,7,4,560,698,148,66,80.0,27.97958439393164,492,66,174.5,183.3378029758184,492,66,114.36363636363636,121.60388206069491,14787.5041322314,140,80,20,1,0.003846287727355957,0.027231454849243164,0.0,0.007863844708256535,0.03846287727355957,0.02814459800720215,0.0,0.006410479545593262,0.009859768262972102,0.036115407943725586,0.027231454849243164,0.002508878707885742,0.012038469314575195,0.010858390744764879,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,114.36363636363636,64240,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,174.5,0,7,4,560,698
192.168.50.10,192.168.50.20,57344,80,6,2026-09-07 18:32:23,0.07726669311523438,336160.36810664035,245.90155517156256,142.36405825722045,103.53749691434214,11,8,830,25144,154,66,75.45454545454545,25.024946231396733,7306,66,3143.0,3109.8089973501587,7306,66,1367.0526315789473,2523.120237735812,6366135.734072022,220,160,20,1,0.0042925940619574655,0.05809211730957031,0.0,0.013121009024126351,0.07726669311523438,0.05911135673522949,0.0,0.0077266693115234375,0.017224442503570574,0.07535266876220703,0.05809211730957031,0.0004642009735107422,0.010764666966029577,0.019473700794778954,1,2,0,0,2,3,0,3,17,0,0,0.7272727272727273,1367.0526315789473,64240,5792,0,0,0,0,0,0,0,0,0,0,24608.0,5.0,0,3813398.0947313975,75.45454545454545,3143.0,0,11,8,830,25144
192.168.50.10,192.168.50.20,57354,80,6,2026-09-07 18:32:23,0.012031316757202148,154180.96268553197,914.2806412619146,581.8149535303094,332.4656877316053,7,4,561,1294,149,66,80.14285714285714,28.326809973332793,1088,66,323.5,441.39636382734284,1088,66,168.63636363636363,291.65492459638375,85062.5950413223,140,80,20,1,0.0012031316757202149,0.004812955856323242,0.0,0.0014176517956769627,0.012031316757202148,0.004812955856323242,0.0,0.0020052194595336914,0.0014896331815145928,0.009738922119140625,0.005743503570556641,0.001369476318359375,0.003246307373046875,0.001838780081750354,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,168.63636363636363,64240,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.14285714285714,323.5,0,7,4,561,1294
